date,R_t,turnover,window
2012-01-04,0.002500796875,1.873291301727295,2012
2012-01-05,0.0017362002450466388,0.8116698622703552,2012
2012-01-06,-0.0030816031933413846,0.8488536298274993,2012
2012-01-09,0.000437138018623319,1.3986236572265625,2012
2012-01-10,0.01284841728072027,1.551087737083435,2012
2012-01-11,0.0033065492333078533,0.9624425172805786,2012
2012-01-12,0.0023992194201920536,0.9313132405281067,2012
2012-01-13,-0.0017737370784583339,1.2253503203392029,2012
2012-01-17,0.0012578739642537889,1.021034348011017,2012
2012-01-18,0.002082867195867644,0.8017562419176102,2012
2012-01-19,0.00276945639117665,0.6342537119984627,2012
2012-01-20,-0.0020951968884504483,1.121285903453827,2012
2012-01-23,0.0004748252756198321,0.8977383255958558,2012
2012-01-24,-0.0012384584151201247,0.5867987394332885,2012
2012-01-25,0.009018236980794027,0.7793142557144165,2012
2012-01-26,-0.004190531824992002,0.8279790222644806,2012
2012-01-27,-0.0022876690432569223,0.7212897479534149,2012
2012-01-30,-0.00401861860653118,0.8473466515541077,2012
2012-01-31,3.254737195456036e-05,0.9172971487045288,2012
2012-02-01,0.009436747208612551,0.8213121891021729,2012
2012-02-02,0.00040879847213528604,0.8417479455471039,2012
2012-02-03,0.014429830259138196,0.8901463210582733,2012
2012-02-06,0.00028322801228306075,0.7866022467613221,2012
2012-02-07,0.0015535589205573773,1.0896230459213256,2012
2012-02-08,0.0014750226555141092,1.0669758796691895,2012
2012-02-09,0.0002702034716867345,1.0385294556617737,2012
2012-02-10,-0.005699071935935926,0.9967844843864441,2012
2012-02-13,0.0008150531376348588,1.1320002317428588,2012
2012-02-14,-0.0029190995094079113,1.2781366020441056,2012
2012-02-15,-0.0016376036984248957,0.9468174815177918,2012
2012-02-16,0.008683093147466143,0.8849265694618225,2012
2012-02-17,0.0024548183653863493,0.5138169169425965,2012
2012-02-21,0.0007475158221358748,0.6581305801868439,2012
2012-02-22,-0.0014886506591848786,0.6194570243358613,2012
2012-02-23,0.0035342742997127607,0.5869395017623902,2012
2012-02-24,0.001413210281820435,0.5508614599704742,2012
2012-02-27,0.0009068237255882312,0.8014796137809753,2012
2012-02-28,0.0018472892203277244,0.7315561056137085,2012
2012-02-29,-0.005635931648406874,0.5829357087612153,2012
2012-03-01,0.005902115138330454,0.5310817539691925,2012
2012-03-02,-0.0018379198869452533,0.7581259965896606,2012
2012-03-05,-0.005443109968076771,1.003574252128601,2012
2012-03-06,-0.007516697139685087,1.0566335201263428,2012
2012-03-07,0.004689165456388771,0.5802730768918991,2012
2012-03-08,0.005817198401383427,0.5843965351581574,2012
2012-03-09,0.002525612673194623,0.7120954036712647,2012
2012-03-12,-7.685889972762139e-05,0.6052925050258636,2012
2012-03-13,0.011868984969049944,0.4301348447799683,2012
2012-03-14,-0.003021021451974259,0.5524932682514191,2012
2012-03-15,0.0040842986490310495,0.5240587651729584,2012
2012-03-16,0.0016369921829053296,0.4502482533454895,2012
2012-03-19,0.0019097672972540434,0.4566765189170837,2012
2012-03-20,-0.003062186630935187,0.49876963496208193,2012
2012-03-21,-0.0013197331977395186,0.5217873513698578,2012
2012-03-22,-0.0066453786128907915,0.39509612917900083,2012
2012-03-23,0.003506012623279267,0.3222604975104332,2012
2012-03-26,0.011206064995842644,0.5730740785598755,2012
2012-03-27,-0.001076956470138222,0.6820337116718292,2012
2012-03-28,-0.005934271624221897,0.5401678621768952,2012
2012-03-29,-0.0001263420294807404,0.43728874027729037,2012
2012-03-30,0.003970340759279772,0.4200098395347595,2012
2012-04-02,0.0056710932619512145,0.4592659533023834,2012
2012-04-03,-0.0009722675427027471,1.039016604423523,2012
2012-04-04,-0.009060794906043595,1.3109364748001098,2012
2012-04-05,-0.0013976166712942049,0.7413456678390503,2012
2012-04-09,-0.010233298413320619,0.4439690589904785,2012
2012-04-10,-0.015241973800364086,0.4635777652263641,2012
2012-04-11,0.007941845393670238,0.41225493550300596,2012
2012-04-12,0.012346927796405446,0.40642431378364563,2012
2012-04-13,-0.007930267363209289,0.4026538491249084,2012
2012-04-16,0.0005099069446291152,0.4591087818145752,2012
2012-04-17,0.012679201165748135,0.5004579842090606,2012
2012-04-18,-0.002234986715564219,0.5359459042549133,2012
2012-04-19,-0.00297335371215721,0.5611997753381729,2012
2012-04-20,0.0003931838104737187,0.5238333404064178,2012
2012-04-23,-0.006557196203545859,0.5072741448879242,2012
2012-04-24,0.003269593214152943,0.291870242357254,2012
2012-04-25,0.005435500802446531,0.6673848807811738,2012
2012-04-26,0.005052936375240837,0.7540629029273986,2012
2012-04-27,0.002191898314397647,0.5400963008403779,2012
2012-04-30,-0.002916820696988922,0.6232709169387818,2012
2012-05-01,0.0030289566935097797,0.8994104146957398,2012
2012-05-02,-0.002641441689639424,0.6568398535251617,2012
2012-05-03,-0.004718336490341894,0.4619510114192963,2012
2012-05-04,-0.01444364253263985,0.7084856569766999,2012
2012-05-07,-0.00013445693174013795,0.7626092076301575,2012
2012-05-08,-0.003535839662519337,0.677742600440979,2012
2012-05-09,-0.0039047230879006864,0.5670672953128815,2012
2012-05-10,0.0015996688255488158,0.5181446880102157,2012
2012-05-11,-0.00170066199283452,0.6165188431739808,2012
2012-05-14,-0.007361737109154663,0.38566890358924866,2012
2012-05-15,-0.005318283966229249,0.2905371248722076,2012
2012-05-16,-0.002743317538624618,0.33515684902667997,2012
2012-05-17,-0.00905004957005463,0.40541914403438567,2012
2012-05-18,-0.0025619067092440126,0.6698331534862518,2012
2012-05-21,0.0041872048198369795,0.2970708802342415,2012
2012-05-22,0.0007661422927774514,0.60638297945261,2012
2012-05-23,0.0024133601220665546,0.5226921528577805,2012
2012-05-24,0.0019124751077659453,0.5981974601745605,2012
