test_year,rl_total_return,rl_sharpe,rl_max_dd,rl_final,rl_D_reward,ew_total_return,ew_sharpe,ew_final,sp_final
2012,0.08063781250000002,0.9126726526431733,0.059028894205808424,108063.78125,49.035640603548174,0.15880328124999998,1.2627046388035705,115880.328125,114493.070386009
2013,0.18646370312499996,2.2750908170122095,0.030263528856286186,118646.3703125,39.1532932516918,0.26462171874999996,2.223622017980118,126462.171875,125532.24929923558
2014,0.13914578124999996,1.5961751981345542,0.04518899026652255,113914.578125,21.317333326596138,0.14460906250000005,1.2924628778849692,114460.90625,112385.80716400637
2015,0.03744499853515626,0.400875428805323,0.07383066115030142,103744.49985351562,15.834657765728394,-0.025762968749999948,-0.09705884056118147,97423.703125,99608.037194902
2016,0.13717684375,1.41856021440517,0.060348693682431856,113717.684375,-113.64943764127682,0.16598546874999998,1.2690867570884545,116598.546875,111956.11277069368
2017,0.08094291015624999,2.199619629914367,0.018045806065064042,108094.291015625,-33.57502912690313,0.19150117187499993,2.8376820847709827,119150.1171875,118718.92804552459
2018,-0.021082478515624968,-0.28792476809963913,0.06506828742706464,97891.7521484375,-161.2547105982099,-0.06698351562500005,-0.37811920554298284,93301.6484375,92516.56708985238
2019,0.08460601660156249,1.4538404642258973,0.041379209088128296,108460.60166015624,16.36661661374263,0.2826501562499999,2.2121131659612754,128265.015625,133088.09793830526
2020,0.2828362199707031,1.0383976458351396,0.15118719298672353,128283.62199707031,36.21773301053953,0.08516054687500008,0.40770229748872217,108516.0546875,114399.42472218376
2021,0.22318780767822263,2.433877857777532,0.029084889582351715,122318.78076782226,-14.885222833309868,0.3101632031249999,2.241389410608249,131016.3203125,128224.02351384543
