date,window,R_t,turnover
2012-01-04,2012,0.0008066812499999999,1.680073699951172
2012-01-05,2012,0.0034375261687758204,0.0
2012-01-06,2012,-0.002570842627542052,0.0
2012-01-09,2012,0.002175452238767995,0.0
2012-01-10,2012,0.008397569311113505,0.0
2012-01-11,2012,0.0007488942834144405,0.5261139794862186
2012-01-12,2012,0.0018750705053634162,0.0
2012-01-13,2012,-0.002793477641539796,0.0
2012-01-17,2012,0.0015605217569704512,0.0
2012-01-18,2012,0.006353437063402712,0.0
2012-01-19,2012,0.0028553791843300745,0.4356148737661359
2012-01-20,2012,-0.0006741784829543198,0.0
2012-01-23,2012,0.0007711381894769271,0.0
2012-01-24,2012,-0.001163685219828244,0.0
2012-01-25,2012,0.007111287637652848,0.0
2012-01-26,2012,-0.004591110103001167,0.6003216225847808
2012-01-27,2012,-0.0011892439494867121,0.0
2012-01-30,2012,-0.0029104645182258353,0.0
2012-01-31,2012,-0.00015724441333974908,0.0
2012-02-01,2012,0.007220567505654922,0.0
2012-02-02,2012,0.0008316685654600187,0.5358422354639061
2012-02-03,2012,0.010962490879602587,0.0
2012-02-06,2012,-0.0011868846693374822,0.0
2012-02-07,2012,0.0015084475831522565,0.0
2012-02-08,2012,0.0018110288173175566,0.0
2012-02-09,2012,0.0009740608313896385,0.33680826019165383
2012-02-10,2012,-0.005032549318420615,0.0
2012-02-13,2012,0.004108443660535849,0.0
2012-02-14,2012,-0.0010499478213613662,0.0
2012-02-15,2012,-0.002323912857716887,0.0
2012-02-16,2012,0.009997392665033177,0.5129325307434879
2012-02-17,2012,0.002015299111758949,0.0
2012-02-21,2012,0.0008199658998818681,0.0
2012-02-22,2012,-0.0020271888979546417,0.0
2012-02-23,2012,0.003156856429696122,0.0
2012-02-24,2012,0.0013616503525461408,0.3491346592122979
2012-02-27,2012,0.0012766034695153674,0.0
2012-02-28,2012,0.001385511142032439,0.0
2012-02-29,2012,-0.004962692974596573,0.0
2012-03-01,2012,0.005185752934298165,0.0
2012-03-02,2012,-0.0021044727900886772,0.3205130250280773
2012-03-05,2012,-0.0029918073828021784,0.0
2012-03-06,2012,-0.010318072926335289,0.0
2012-03-07,2012,0.004409172842665298,0.0
2012-03-08,2012,0.007065049217795977,0.0
2012-03-09,2012,0.002430010906021236,0.34845216496298326
2012-03-12,2012,-0.00018755682079744942,0.0
2012-03-13,2012,0.012041588788720164,0.0
2012-03-14,2012,-0.0031504222032497932,0.0
2012-03-15,2012,0.0035285618218245463,0.0
2012-03-16,2012,0.0012522724564355571,0.3450623620991704
2012-03-19,2012,0.0015395872024384413,0.0
2012-03-20,2012,-0.0024617801431936056,0.0
2012-03-21,2012,-0.0014514588949097213,0.0
2012-03-22,2012,-0.005262910928420896,0.0
2012-03-23,2012,0.0032788959195849863,0.2496821603644741
2012-03-26,2012,0.008975628263883163,0.0
2012-03-27,2012,-0.0017346479194819922,0.0
2012-03-28,2012,-0.0048861833091780075,0.0
2012-03-29,2012,-0.00017714264196468346,0.0
2012-03-30,2012,0.0035395237122912947,0.23581286359670614
2012-04-02,2012,0.005007744040063118,0.0
