R_t,turnover,window
-0.002585546875,2.0,2012
-0.0015949049515133072,0.7235599062831584,2012
-0.0057197469149086145,0.6742095652668372,2012
0.0018038233069026127,0.3107772826755923,2012
0.006733904635270658,1.3784290792046787,2012
-4.349869042341907e-05,0.47293009060109803,2012
0.0038116994347584363,0.3128425720394507,2012
-0.006413717306810821,0.796212194592224,2012
0.006042657485941963,0.8629743229791691,2012
0.0069889829151870905,0.5347319564815438,2012
0.00027155455575161375,0.7720969311404399,2012
-0.0011653471552454673,0.35198584367378516,2012
-0.0023999097883164243,0.827013573835433,2012
0.0004411118411183203,0.8416003033576364,2012
0.009872805673250426,0.9837707047778556,2012
-0.0038553350461320696,0.9060797783338365,2012
-0.0017629897663380496,0.6080910954837692,2012
-0.003360692379958674,0.3961983497645898,2012
-0.001979920081617585,0.5145619675991309,2012
0.010120594289879537,0.7602074640252858,2012
-0.003872066790112045,0.6968459521064759,2012
0.00583075421909917,0.00022732041128628138,2012
-0.004681055785135553,0.5405599921935267,2012
0.0002796883728202791,0.8797040919471786,2012
0.0019966202969515547,0.39915358753221664,2012
0.0016301962457206482,0.5822064523949456,2012
-0.008411163295433692,0.5429728554080654,2012
0.0086229145797055,0.6626839035031563,2012
-0.005090792590978989,0.3143364991569576,2012
-0.005044527258865663,0.42291385745826815,2012
0.007252777903312549,0.5260965575658467,2012
0.003891412042624368,0.33330223339737075,2012
-0.0026947995176514667,0.5701154358339471,2012
-0.007350104069237709,0.7647112548486662,2012
0.006388903260898148,0.5334055590390223,2012
0.0018003791294144088,0.5900899341435301,2012
0.004579030770409713,0.14950156120413494,2012
0.0060311835811006475,0.44256096732157313,2012
-0.004248240748106951,0.32369258524926486,2012
0.007168943264367704,0.15220684719025887,2012
-0.0013261451760805008,0.5256186322326369,2012
-0.005247167652904937,0.18614237844588574,2012
-0.012032687660397503,0.23068820954108762,2012
0.008450412721374749,0.1612949405633109,2012
0.010312984179686392,0.11301448782830183,2012
0.004942734437715754,0.1385132418785118,2012
0.00017690977004978023,0.5680755069447968,2012
0.018977429414951397,0.640963126910424,2012
0.0013829672745427589,0.4497713764276092,2012
0.0030814920037602893,0.19080819971358612,2012
-0.0013703213093928881,0.057756279962840724,2012
0.006305063831280745,0.488299974779692,2012
0.0007775869340723762,0.10307552049240704,2012
-0.000332583839668323,0.8468303702849518,2012
-0.0023390631696045385,0.15617998672002698,2012
9.946118082344295e-05,0.02162989578636046,2012
0.014734164570551753,0.07199138706407565,2012
-0.0005420843935077456,0.15093610448174244,2012
-0.0041027249329134916,0.061449051389000676,2012
-0.0017368181561295232,0.08202444892330442,2012
-0.0025620470929906803,0.16543956312534244,2012
0.010540313007199443,0.09467493003059423,2012
-0.0007272729378323502,0.08966188916507321,2012
-0.011170547650911042,0.15068001855056873,2012
0.002325712906087786,0.15194379154923698,2012
-0.006960218739709305,5.187171695563179e-05,2012
-0.013873689877966517,0.055760031641083764,2012
0.005754299773002703,0.05621162199545362,2012
0.012452858889241346,0.00011086080520800312,2012
-0.015624145727446288,0.00010946379613952002,2012
-0.010468479087611001,0.00011122681329583329,2012
0.021581302093612174,0.04392001651214465,2012
-0.004596878806565859,0.67947701794212,2012
-0.008457836895080796,0.0482548484467066,2012
0.003093359090680478,0.4039829226746593,2012
-0.011934086273156173,0.0639243573765157,2012
-0.0004433821209265444,0.36653101311109176,2012
0.015460178540277016,0.19705917029718686,2012
0.008778862724447884,0.3549659804566015,2012
-0.0010673757013936326,0.21556133161671379,2012
-0.0040594930039276585,0.18284000124855668,2012
0.004486237850650164,0.7181076279837515,2012
0.0020923063520289988,0.36703936097963624,2012
-0.0025766602688267574,0.34397775365061783,2012
-0.012628746221314232,0.2655956304776222,2012
0.0009995125456494513,0.32988850044749657,2012
-0.0032722466293617788,0.24592276931201038,2012
-0.0047684910735763105,0.10232162556794228,2012
0.007507396458034604,0.3684447206240448,2012
-0.001495731464108705,0.33978035366501697,2012
-0.0029809419445154745,0.19032708409303897,2012
-0.0037218407454611127,0.09496772867081535,2012
0.0022254268676356044,0.2424082907084681,2012
-0.006571188121224389,0.4319224468286157,2012
-0.005068666461189027,0.24137834160945973,2012
0.002891165208985391,0.28089383790291744,2012
0.0038910458748598197,0.20591774558254386,2012
-0.0036625960439773714,0.17616796983944213,2012
0.004879761086727808,0.9161033840005736,2012
