test_year,rl_total_return,rl_sharpe,rl_max_dd,rl_final,rl_D_reward,ew_total_return,ew_sharpe,ew_final,sp_final
2012,0.04946425000000003,1.5294480980946639,0.060819110055409506,104946.425,90.19259513849669,0.15880421875000006,2.814530448501199,115880.421875,114493.070386009
2013,0.212634328125,5.6604548058514785,0.02934356878957222,121263.4328125,86.42723615639507,0.264621171875,4.956347613648135,126462.1171875,125532.24929923558
2014,0.11872179687500002,3.375168937381676,0.04785997657418632,111872.1796875,-77.04543807773398,0.14460882812499998,2.8808389797945564,114460.8828125,112385.80716400637
2015,-0.035209258300781254,-0.7079427676572124,0.13301821468040684,96479.07416992188,21.31594536346553,-0.02576351562500001,-0.21634975719052843,97423.6484375,99608.037194902
2016,0.12978859375,2.746300008771088,0.05117344670172912,112978.859375,-160.05987375501286,0.1659852343749999,2.828736479544094,116598.5234375,111956.11277069368
2017,0.11349756250000001,5.14229434773914,0.018182113957922137,111349.75625,4.280219370983884,0.19150226562500006,6.325094902470901,119150.2265625,118718.92804552459
2018,0.025237140624999953,0.6254854730284571,0.10087903481275087,102523.7140625,-68.12604922225897,-0.06698484375000002,-0.8428311758251482,93301.515625,92516.56708985238
2019,0.16738105371093748,4.483739426578676,0.04941429706571,116738.10537109376,48.48840062964756,0.28264960937499994,4.9306958327026384,128264.9609375,133088.09793830526
2020,-0.04161823770904538,0.013054121124345331,0.2968768826693633,95838.17622909546,20.177990855487813,0.085146328125,0.9086696348333001,108514.6328125,114399.42472218376
2021,0.2304568906249999,4.372641879695292,0.05382456864114158,123045.6890625,-7.161154716470364,0.3101653124999999,4.995997061603696,131016.53125,128224.02351384543
