date,window,seed0,seed1,seed2,seed3,seed4
2012-01-04,2012,0.0025006250000000002,0.002515359375,0.002528859375,0.00252878125,0.0025427500000000003
2012-01-05,2012,0.0017362161538219015,0.0017142844079197739,0.0017556483868249359,0.0017448495246263056,0.0016481036965421275
2012-01-06,2012,-0.003081806304255391,-0.00307465146634614,-0.003050347414803947,-0.0030712655739585835,-0.003053134837742119
2012-01-09,2012,0.0004370443255994878,0.00045080738981331906,0.00041735841987350695,0.00042934813995680783,0.0004199922820134169
2012-01-10,2012,0.012847406039470132,0.01285853359941122,0.012902835139199684,0.012890560141877084,0.01289988402976663
2012-01-11,2012,0.0033059798762127084,0.003347968853929443,0.003506017482118729,0.002980080059443204,0.003389028763467903
2012-01-12,2012,0.0023996414126929502,0.0026281706024671387,0.002870426871715002,0.00254264246971965,0.0026596283090906917
2012-01-13,2012,-0.0017740603460768526,-0.0018399165281801195,-0.0017943818744187317,-0.0018033957264710569,-0.0019186506923006368
2012-01-17,2012,0.001257807504978279,0.0012341319702473335,0.0012380108560531404,0.0012671777641214974,0.0012970937077143075
2012-01-18,2012,0.0020828441240427894,0.0019356215742993821,0.001918686611575457,0.0018482068161075533,0.0018759537030853684
2012-01-19,2012,0.0027695229385278236,0.0028101861324325516,0.002869510290173786,0.0027818686590997737,0.002860394533975563
2012-01-20,2012,-0.0020953875572368983,-0.0021505629923028705,-0.002149102432125932,-0.0021019852066479603,-0.002082988440694251
2012-01-23,2012,0.0004747913963703905,0.0004505498436881297,0.0004550215208168569,0.0004685821066643623,0.00046170033250251576
2012-01-24,2012,-0.001238464299445003,-0.0012377128189801799,-0.0012362309292601543,-0.001251447392007402,-0.0012433601953905616
2012-01-25,2012,0.009018455429424144,0.0088450425718915,0.009033076189911352,0.009034748457208709,0.008968082953264496
2012-01-26,2012,-0.004190502876214988,-0.004221140225084424,-0.00420111942974003,-0.004240190595204806,-0.0041864850639016255
2012-01-27,2012,-0.0022877032408016745,-0.0022520100718101213,-0.0022146857549686393,-0.0022246338119694575,-0.0021447516625536832
2012-01-30,2012,-0.0040188701729766555,-0.004015093987655481,-0.004016079198871436,-0.004010670415991121,-0.004021209135876497
2012-01-31,2012,3.2702644035503835e-05,4.612212584933032e-05,2.943201968182951e-05,4.959080497456234e-05,3.522541083607977e-05
2012-02-01,2012,0.009436997141099357,0.009459394526711982,0.009436650888936051,0.00945530810128154,0.009417952911247831
2012-02-02,2012,0.0004086482114737153,0.0003626153333539099,0.00035686494790491204,0.00038475340073354286,0.00030505334695650417
2012-02-03,2012,0.014431473256503517,0.014522503831462936,0.014258350578440188,0.014425696661008605,0.014374111800597722
2012-02-06,2012,0.0002844585120586476,0.000277283276820202,0.0003135913983214211,0.00021960510686143783,0.00026682861042077544
2012-02-07,2012,0.00155329914184135,0.0015274452298134702,0.00161159752816105,0.001450802581862557,0.0014599523367341588
2012-02-08,2012,0.0014749514675342316,0.0014651473087482997,0.0014658418537585338,0.0014309726676123295,0.0014421468879955586
2012-02-09,2012,0.00027010001819562356,0.00023177024193120292,0.000240702818620436,0.00022830142554636793,0.0002563155766928706
2012-02-10,2012,-0.005698695393888573,-0.005718924053791899,-0.005775553819009795,-0.005748093540475775,-0.005738358957882919
2012-02-13,2012,0.0008150760992309527,0.0008050969712594984,0.0008393790692704445,0.0008174444630966003,0.0007839552571159314
2012-02-14,2012,-0.0029191728130650582,-0.002939329899218311,-0.0029626675606752996,-0.002929217464045143,-0.002991104963312314
2012-02-15,2012,-0.0016375779464784944,-0.0016780963932731287,-0.0016070459784106878,-0.0016601525755127807,-0.0016323575780281465
2012-02-16,2012,0.008682981739624304,0.008614886126683716,0.008664677037344146,0.008559534261550452,0.008631940888665863
2012-02-17,2012,0.0024549564856688926,0.002506686189111539,0.0024353560949550756,0.0024955627766684333,0.002448149027881067
2012-02-21,2012,0.0007471625889418105,0.0007303982662505331,0.0007768931117972224,0.0007793394216728978,0.0007526264340560072
2012-02-22,2012,-0.0014886345143124192,-0.0014693541357233002,-0.001502570751658897,-0.0015174671371334836,-0.0014790419756941118
2012-02-23,2012,0.0035340478580434655,0.0035393007947451803,0.0035248479399702707,0.0035094813967741514,0.0034754530234515036
2012-02-24,2012,0.0014131948754410948,0.0013890864133354875,0.0014072481143386321,0.0013913617407572423,0.0014238131293823984
2012-02-27,2012,0.000906747865064869,0.0009333469961482139,0.0009363247714647306,0.0009421868504114852,0.0009659304320682241
2012-02-28,2012,0.001847396514530171,0.0018407539282555673,0.0018393869055130518,0.001817565994793758,0.0018431927195674785
2012-02-29,2012,-0.00563593813619629,-0.005693494693643123,-0.005659369521467163,-0.005669708888210924,-0.005661292633102203
2012-03-01,2012,0.005902074536057254,0.0059378996758771944,0.0059226278522194935,0.005924766511665449,0.0059073137338991975
2012-03-02,2012,-0.0018379463636000125,-0.0018461957050179857,-0.0018223962053182537,-0.0019197967836749332,-0.0018781242393904433
2012-03-05,2012,-0.005443089178453272,-0.005474494834895231,-0.005439796291958282,-0.005506744784240466,-0.0054728545746150995
2012-03-06,2012,-0.007516389157398033,-0.006950508709089852,-0.007342996163901444,-0.0068931068324710465,-0.00758744086926494
2012-03-07,2012,0.004689066712733257,0.004896898826910573,0.004761674160260858,0.004869031247956469,0.0048283678894448364
2012-03-08,2012,0.005817231591657053,0.005493827451531699,0.005592476744856573,0.0056847566620983146,0.005792850450370188
2012-03-09,2012,0.0025256217598089723,0.0025702032192843867,0.0025735850299915585,0.002464479491815162,0.002531138830058817
2012-03-12,2012,-7.684439861886522e-05,-4.964668527920775e-05,-7.395140783783377e-05,-9.37288377101303e-05,-5.4839381351839357e-05
2012-03-13,2012,0.011869666671381793,0.011560094369296206,0.011845455037148043,0.011846134095725807,0.011594231157241291
2012-03-14,2012,-0.003020981521740587,-0.0030049212163181104,-0.0030243047349776467,-0.0030084161418698252,-0.002989549160495397
2012-03-15,2012,0.004084781456307354,0.004073503055992359,0.004121831150916551,0.004086589061450425,0.004138997999661663
2012-03-16,2012,0.001637062596024226,0.0015660114839853377,0.0015608534320743469,0.001576518901131685,0.0016277421111619461
2012-03-19,2012,0.0019096606317776954,0.0018775154202220004,0.0019168072666762375,0.0019034007257847714,0.0019114835336712418
2012-03-20,2012,-0.0030622031383895796,-0.0030007110819385984,-0.0030883830535556158,-0.003044436390835791,-0.0030382659386286415
2012-03-21,2012,-0.0013197599957977338,-0.0013307103961883765,-0.0012970298081704708,-0.001272142769495673,-0.0013082577098276881
