test_year,rl_total_return,rl_sharpe,rl_max_dd,rl_final,rl_D_reward,ew_total_return,ew_sharpe,ew_final,sp_final
2012,0.07862128124999997,0.8505178963135084,0.06532521520908412,107862.128125,31.079304956252564,0.1588037499999999,1.2627076141496871,115880.375,114493.070386009
2013,0.13757782812500002,2.087130197448297,0.02932992399250069,113757.7828125,30.40111322205064,0.2646214062500001,2.2236130676266113,126462.140625,125532.24929923558
2014,0.02401522656249999,0.39978574378568277,0.0607739934488716,102401.52265625,-101.70540209861227,0.14460968750000003,1.2924683728846076,114460.96875,112385.80716400637
2015,0.004620937309265161,0.10023480201526627,0.06994898052344606,100462.09373092651,40.361495280341174,-0.02576468750000005,-0.09707057614504605,97423.53125,99608.037194902
2016,0.0752335409240723,1.097405734302612,0.03357999937931994,107523.35409240723,-101.32595502226198,0.16598500000000005,1.2690841071693568,116598.5,111956.11277069368
2017,0.11810038085937498,2.901938956740038,0.014015916744845865,111810.0380859375,25.569606413677345,0.19150085937500005,2.837673596990593,119150.0859375,118718.92804552459
2018,-0.06817896875000003,-1.0180987957377396,0.09192398727000459,93182.103125,-325.2771716247979,-0.066983359375,-0.3781187228788625,93301.6640625,92516.56708985238
2019,0.11458271844482426,1.8757536717898549,0.04937097317172523,111458.27184448243,245.46544081317333,0.2826486718750001,2.2121010821680316,128264.8671875,133088.09793830526
2020,-0.06487406250000001,-0.29891375479746146,0.19262767726733923,93512.59375,11.063550486806852,0.0851543749999999,0.40768640306749754,108515.4375,114399.42472218376
2021,0.11667646007537842,1.6023468116749822,0.03529367717855833,111667.64600753784,-312.31831606203616,0.31016789062500005,2.2414242167205054,131016.7890625,128224.02351384543
