date,window,R_t,turnover
2012-01-04,2012,0.0015084375,1.9543815279006957
2012-01-05,2012,0.0013330472708041022,0.9966009471747561
2012-01-06,2012,-0.0029833910358745075,0.7680448129951987
2012-01-09,2012,0.0011469921767219878,0.9820406232913685
2012-01-10,2012,0.011106494778166106,1.137025414512064
2012-01-11,2012,0.002724632647110358,0.9163527484854151
2012-01-12,2012,0.00010826452211182363,1.145337800396077
2012-01-13,2012,-0.002669406460111209,0.9131851578450817
2012-01-17,2012,0.0010045571158880972,0.7687132639103323
2012-01-18,2012,0.004084834446752915,0.4693970155469473
2012-01-19,2012,0.0036113553611242305,0.8458746823621048
2012-01-20,2012,-0.001088680076904653,0.682968844969618
2012-01-23,2012,0.0012784456698446336,1.0875483526818912
2012-01-24,2012,-0.002007892144913338,0.8865399788811837
2012-01-25,2012,0.00859300969582012,0.717767114008676
2012-01-26,2012,-0.005434545808911918,0.680032484217931
2012-01-27,2012,-0.0018195601898401143,0.6614392179970884
2012-01-30,2012,-0.003915296186517027,0.43777045007066195
2012-01-31,2012,0.00039957317276813136,0.7540384243554697
2012-02-01,2012,0.009058269314194988,0.8267947766137379
2012-02-02,2012,0.0012615242132925216,0.7928227623419044
2012-02-03,2012,0.012812787928555298,0.5637502837951502
2012-02-06,2012,0.0008692917157097603,0.49535773773681263
2012-02-07,2012,0.001098122715696623,1.1666945056864069
2012-02-08,2012,0.0019199720191412878,1.1154982544877718
2012-02-09,2012,0.0003682580551690359,1.0768534110780377
2012-02-10,2012,-0.006410200700712909,1.0293310798778996
2012-02-13,2012,0.001459684969026809,1.1899725047790528
2012-02-14,2012,-0.0027825129827544616,1.3701056120250852
2012-02-15,2012,-0.001505770551164448,1.0212648319464641
2012-02-16,2012,0.009974930777672284,0.9698764610055157
2012-02-17,2012,0.0017208451895749498,0.5550633724845155
2012-02-21,2012,0.0004755397901941586,0.6967245914990798
2012-02-22,2012,-0.001305817657073156,0.553263022703532
2012-02-23,2012,0.003737378071182718,0.5500115409875822
2012-02-24,2012,0.002175887433451632,0.7267442532798798
2012-02-27,2012,0.0005447263269845658,0.4834443476101491
2012-02-28,2012,0.001893203956972798,0.7298555268428053
2012-02-29,2012,-0.003348442804015908,0.7372776586381391
2012-03-01,2012,0.0055267255265890386,0.5257022345066267
2012-03-02,2012,-0.0015743162318408578,0.6224820842553347
2012-03-05,2012,-0.004268578754015838,0.7685477162547597
2012-03-06,2012,-0.010243162683637345,0.5408899893685346
2012-03-07,2012,0.004326781209180888,0.5354945550589292
2012-03-08,2012,0.005841833552360256,0.6336052001643193
2012-03-09,2012,0.002645496538991828,0.5641030797607969
2012-03-12,2012,5.5461060534659706e-05,0.538698900863066
2012-03-13,2012,0.010327763691486096,0.43432309791297524
2012-03-14,2012,-0.0031517628794713827,0.8054434742225538
2012-03-15,2012,0.004769048238763201,0.6045644529850819
2012-03-16,2012,0.0013730636440410428,0.46511446214315877
2012-03-19,2012,0.0022109760643981924,0.4523141619547947
2012-03-20,2012,-0.0018265494651183076,0.5359318971446099
2012-03-21,2012,-0.0014839077957667132,0.3466481112147349
2012-03-22,2012,-0.007199694132227044,0.4649540130882472
2012-03-23,2012,0.0029201536614728275,0.40632277556114105
2012-03-26,2012,0.009290119367822263,0.35770620221635163
2012-03-27,2012,-0.0016287520356314065,0.3313014787879427
2012-03-28,2012,-0.00511859409893741,0.4147624658507616
2012-03-29,2012,-0.0005183418223425589,0.4164019607042575
2012-03-30,2012,0.004084470820596866,0.3738626624840681
2012-04-02,2012,0.004800907463645819,0.5210780190115131
2012-04-03,2012,-0.000990706102634354,0.738771352213629
2012-04-04,2012,-0.010032384156534901,1.3811728495819242
2012-04-05,2012,-0.001062511912898505,0.7761741746044999
2012-04-09,2012,-0.009074058875190921,0.4541975778229004
